state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2008-12-31,136421.48244734376,4,23,state,,5.286,211.398,7.3,70520.0,0.004405,109137.18595787502,741.5168604595507,5876.666666666667,7.925196283500064
Alabama,2009-01-31,135981.79781900297,4,23,state,,5.047499999999999,211.933,7.8,70070.0,0.004206249999999999,108785.43825520237,723.1276668157577,5839.166666666667,8.074876587669547
Alabama,2009-02-28,135479.96307238043,4,23,state,,5.13,212.705,8.3,70070.0,0.004275,108383.97045790435,725.9500447641175,5839.166666666667,8.04348275584718
Alabama,2009-03-31,134989.8223316569,4,23,state,,5.0025,212.495,8.7,70070.0,0.004168750000000001,107991.85786532552,714.8784777397369,5839.166666666667,8.168054919108238
Alabama,2009-04-30,134372.77177092808,4,23,state,,4.8100000000000005,212.709,9.0,70070.0,0.004008333333333333,107498.21741674247,699.0286301146887,5839.166666666667,8.353258243097487
Alabama,2009-05-31,133764.6900334072,4,23,state,,4.8575,213.022,9.4,70070.0,0.004047916666666667,107011.75202672578,698.9435403855215,5839.166666666667,8.354275172850034
Alabama,2009-06-30,133128.5809937285,4,23,state,,5.42,214.79,9.5,70070.0,0.004516666666666666,106502.86479498282,732.5052732773837,5839.166666666667,7.971501202361313
Alabama,2009-07-31,132520.39274718918,4,23,state,,5.222,214.726,9.5,70070.0,0.004351666666666667,106016.31419775134,716.1091591545621,5839.166666666667,8.154017571232272
Alabama,2009-08-31,131889.92292352,4,23,state,,5.1925,215.445,9.6,70070.0,0.004327083333333333,105511.938338816,710.7787049335631,5839.166666666667,8.21516827408674
Alabama,2009-09-30,131288.41233544826,4,23,state,,5.0575,215.861,9.8,70070.0,0.004214583333333333,105030.72986835861,698.812787364825,5839.166666666667,8.355838319281139
Alabama,2009-10-31,130789.28118490694,4,23,state,,4.952,216.509,10.0,70070.0,0.0041266666666666665,104631.42494792555,689.4079866740551,5839.166666666667,8.469827416471988
Alabama,2009-11-30,130383.35876208908,4,23,state,,4.875,217.234,9.9,70070.0,0.0040625,104306.68700967127,682.3829244420496,5839.166666666667,8.557023421184025
Alabama,2009-12-31,130051.18739302836,4,23,state,,4.93,217.347,9.9,70070.0,0.004108333333333333,104040.9499144227,684.123017279288,5839.166666666667,8.535258307619362
Alabama,2010-01-31,129846.73469004792,4,23,state,,5.03,217.488,9.8,68420.0,0.004191666666666667,103877.38775203834,689.3891296161892,5701.666666666667,8.27060715309076
Alabama,2010-02-28,129700.7236065248,4,23,state,,4.99,217.281,9.8,68420.0,0.004158333333333333,103760.57888521985,686.0759792455883,5701.666666666667,8.31054699355054
Alabama,2010-03-31,129425.15967282926,4,23,state,,4.9675,217.353,9.9,68420.0,0.004139583333333334,103540.12773826341,683.1961957033077,5701.666666666667,8.34557730637999
Alabama,2010-04-30,129034.80090250065,4,23,state,,5.098000000000001,217.403,9.9,68420.0,0.004248333333333334,103227.84072200052,689.3832746318121,5701.666666666667,8.270677395983867
Alabama,2010-05-31,128572.21412639406,4,23,state,,4.8875,217.29,9.6,68420.0,0.0040729166666666665,102857.77130111525,673.6846749113496,5701.666666666667,8.463405624325581
Alabama,2010-06-30,128110.60759458476,4,23,state,,4.7375,217.199,9.4,68420.0,0.003947916666666666,102488.48607566781,661.9671435182436,5701.666666666667,8.613217019145802
Alabama,2010-07-31,127510.04091170442,4,23,state,,4.564,217.605,9.4,68420.0,0.0038033333333333335,102008.03272936353,648.2560820474883,5701.666666666667,8.795392476161895
Alabama,2010-08-31,126849.84741986904,4,23,state,,4.4275,217.923,9.5,68420.0,0.0036895833333333333,101479.87793589523,636.6712059646945,5701.666666666667,8.955433531861095
